date,A0004,A0514,A1534,A3559,A6079,A80,total
2020-01-27,0,0,0,0,0,0,1
2020-01-28,0,0,0,0,0,0,0
2020-01-29,0,0,1,1,0,0,2
2020-01-30,0,0,2,0,0,0,2
2020-01-31,0,0,0,0,0,0,0
2020-02-01,1,0,1,2,0,0,4
2020-02-02,0,0,1,0,0,0,1
2020-02-03,0,0,0,0,0,0,0
2020-02-04,0,0,1,0,0,0,1
2020-02-05,1,0,1,2,0,0,4
2020-02-06,0,0,1,1,0,0,2
2020-02-07,0,0,0,1,0,0,1
2020-02-08,0,0,0,1,0,0,1
2020-02-09,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0
2020-02-11,0,0,0,1,0,0,1
2020-02-12,1,0,0,1,0,0,2
2020-02-13,0,0,0,1,0,0,1
2020-02-14,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0
2020-02-16,1,0,0,0,0,0,1
2020-02-17,0,0,0,0,0,0,0
2020-02-18,0,0,2,0,0,0,2
2020-02-19,0,0,0,0,1,0,1
2020-02-20,0,1,0,0,0,0,1
2020-02-21,0,0,1,0,1,0,2
2020-02-22,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0
2020-02-25,0,0,0,1,0,0,1
2020-02-26,0,0,2,1,0,0,3
2020-02-27,0,0,3,5,0,0,8
2020-02-28,0,1,11,8,3,1,24
2020-02-29,2,0,21,15,7,0,45
2020-03-01,0,1,8,13,1,0,23
2020-03-02,0,0,17,14,4,0,35
2020-03-03,0,0,16,17,9,1,43
2020-03-04,0,6,26,37,16,0,85
2020-03-05,0,3,56,79,15,4,157
2020-03-06,5,5,65,93,16,2,186
2020-03-07,2,6,35,104,32,7,186
2020-03-08,0,4,38,69,28,3,142
2020-03-09,2,5,24,65,8,2,106
2020-03-10,3,12,90,191,44,8,348
2020-03-11,2,21,151,307,100,14,595
2020-03-12,6,26,192,383,140,11,758
2020-03-13,4,13,214,601,142,17,991
2020-03-14,2,38,350,833,214,28,1467
2020-03-15,12,31,347,729,159,25,1303
2020-03-16,6,18,248,546,129,32,980
2020-03-17,8,41,523,1100,316,50,2038
2020-03-18,15,74,823,1607,426,93,3038
2020-03-19,30,59,979,1888,555,93,3605
2020-03-20,26,59,1098,2087,656,122,4050
2020-03-21,20,89,1109,1995,672,165,4056
2020-03-22,27,64,924,1560,629,153,3357
2020-03-23,16,36,587,1082,425,117,2265
2020-03-24,30,70,960,1754,734,183,3731
2020-03-25,43,87,1270,2243,947,287,4878
2020-03-26,29,112,1396,2725,1091,331,5684
2020-03-27,47,97,1502,2649,1193,413,5903
2020-03-28,44,110,1460,2595,1278,495,5982
2020-03-29,39,99,1176,1940,1022,447,4724
2020-03-30,21,52,771,1314,640,282,3081
2020-03-31,21,63,969,1738,890,448,4130
2020-04-01,43,138,1382,2513,1305,680,6061
2020-04-02,56,136,1436,2524,1358,751,6263
2020-04-03,47,119,1505,2637,1386,856,6550
2020-04-04,47,125,1394,2420,1309,892,6187
2020-04-05,29,100,961,1765,902,584,4341
2020-04-06,24,42,577,993,520,379,2535
2020-04-07,30,66,847,1376,784,561,3664
2020-04-08,58,108,1178,2094,1024,725,5188
2020-04-09,44,104,1178,2110,1038,805,5281
2020-04-10,26,93,1185,1909,946,757,4916
2020-04-11,32,65,780,1273,620,580,3351
2020-04-12,38,75,684,1046,505,530,2878
2020-04-13,10,32,419,638,339,430,1869
2020-04-14,10,33,353,504,334,364,1600
2020-04-15,25,56,576,866,467,479,2469
2020-04-16,19,67,771,1246,626,596,3325
2020-04-17,38,79,887,1349,608,456,3418
2020-04-18,30,83,832,1115,536,451,3049
2020-04-19,24,55,549,752,401,327,2108
2020-04-20,11,26,328,473,261,277,1376
2020-04-21,24,33,396,610,316,332,1712
2020-04-22,24,74,568,761,399,359,2186
2020-04-23,37,60,680,898,416,398,2490
2020-04-24,29,70,526,721,361,385,2092
2020-04-25,35,61,564,638,342,265,1905
2020-04-26,21,34,328,438,231,220,1272
2020-04-27,16,12,193,238,119,120,698
2020-04-28,17,41,319,367,225,145,1114
2020-04-29,30,41,414,523,247,218,1473
2020-04-30,18,47,403,498,251,211,1428
2020-05-01,21,46,397,524,251,225,1464
2020-05-02,17,33,237,308,169,154,918
2020-05-03,17,36,182,208,98,81,622
2020-05-04,14,15,150,161,55,28,423
2020-05-05,23,23,219,245,117,100,727
2020-05-06,28,39,307,406,188,126,1094
2020-05-07,30,42,328,453,198,168,1219
2020-05-08,18,46,350,451,197,141,1203
2020-05-09,19,49,277,364,149,122,980
2020-05-10,13,20,194,259,114,77,677
2020-05-11,7,13,103,129,57,32,341
2020-05-12,14,33,218,257,92,75,689
2020-05-13,15,41,231,324,145,97,853
2020-05-14,28,33,248,352,131,122,914
2020-05-15,14,35,201,335,118,109,812
2020-05-16,16,38,227,250,109,94,734
2020-05-17,16,27,147,154,59,59,462
2020-05-18,14,25,118,110,35,14,317
2020-05-19,23,32,185,191,64,45,540
2020-05-20,27,24,215,271,92,101,730
2020-05-21,26,49,251,309,129,68,832
2020-05-22,13,31,133,147,49,45,418
2020-05-23,20,27,167,184,73,54,526
2020-05-24,5,18,98,114,62,40,337
2020-05-25,8,6,77,71,29,28,219
2020-05-26,12,23,120,148,64,44,411
2020-05-27,13,46,182,240,93,43,617
2020-05-28,14,35,225,234,102,43,653
2020-05-29,12,34,168,188,68,58,528
2020-05-30,12,39,125,168,52,49,446
2020-05-31,14,37,146,122,32,23,374
2020-06-01,11,17,66,47,26,11,178
2020-06-02,5,12,52,26,25,16,136
2020-06-03,21,23,105,90,43,25,307
2020-06-04,14,35,180,189,49,30,497
2020-06-05,20,63,189,180,50,27,529
2020-06-06,18,33,145,152,50,35,433
2020-06-07,14,23,99,95,34,20,285
2020-06-08,14,15,46,53,21,15,164
2020-06-09,16,31,107,96,30,15,295
